Machine Type,MACHINE,Problem Description,Root Cause,Action Taken
General Equipment,Phase,Phase drop daviaction alarm,Not specified,"1. Head bord cross check , 2 nozzle clean and changed ,3 gutter block clean and changed, 4 if increase pizo value then jet start only ( from 294 to 1000) . Note ：- ink segmented in filter /ink quality imp ."
General Equipment,Feed,Feed tray shaft servo speed slow .,Not specified,Increase the pdt of shft servo
General Equipment,Feed,Feed plateform vacuume not on,Not specified,Set vacuume leavle
General Equipment,MES,MES Ping high,Not specified,Redused ping help of IT team
General Equipment,Avg,Avg UPH down,Not specified,"Set inter locking of feeding robot ,feed plateform,discharge turntable,feed trsy shaft servo,discharge plateform ,ok discharge robot. ( with DG team)"
General Equipment,Feed,Feed tray lift sensor abnormal,Not specified,Set the range and alignment done.
General Equipment,Feed,Feed lift turntable cell not put proper on turn table.,Not specified,Set cylinder stoper position
General Equipment,FAI,FAI 68 come,Not specified,Barcode reteach .
General Equipment,B,B 4 Glue head used .,Not specified,Pad chenge
General Equipment,A1,A1 daviaction correction servo dissable 2times,Not specified,Enabl the and run
General Equipment,A6,A6 glue head used .,Not specified,Pad chenge
General Equipment,FAI,FAI 61 a side,Not specified,Print servo 0.10 up side
General Equipment,Quality,Quality person close the shoftware PC hang,Not specified,Restart the PC & shoftware
General Equipment,MES,MES ping Value high,Not specified,IT team work on it
General Equipment,FAI,FAI 62 & 60 come,Not specified,Set servo location
General Equipment,Barcode,Barcode grade NG b side,Not specified,Inkjwt head clean
General Equipment,Bar,"Bar code proofreading NG: Printer rutern NG,please check the printer softwarePack code lenth check Error：pack code lenth smaller than 8",Not specified,Restart the PC & shoftware ( due to MES ping value high)
General Equipment,Barcode,Barcode grade NG,Not specified,Both head clean
General Equipment,FAI,FAI 69& 62 come,Not specified,"Set the purzing of turntable cell alignment ,feed lift cylinder rotation ,reteach ROI of cell putting position .loding robot algle teach ."
General Equipment,A1,A1 daviation correction servo disable & Pick up position change 2 times in running M/C,Not specified,Correct the pick up position of A1 daviation motor & enable the motor.
General Equipment,Bubble,Bubble coming on cosmatic side issue.,Not specified,"1. Curring pressure air increased. 2. B1 lift position decresed (27.00 -> 26.00) 3. B1 Vaccum pressure decreased but cosmetic side FAI 70 is coming so reset it. 4. Apply the Black spunge tape on discharge turntable lift-1 head, then problem solved."
General Equipment,QR,QR code erase from corner issue.,Not specified,Decrease the air purging of Discharge turntable lift-1. But under observation.
General Equipment,A1,A1 correction daviaction alarm,Not specified,Manual operate and rum
General Equipment,Barcode,Barcode issue （ printing Biller）,Not specified,A3 inkjet head clean
General Equipment,Loding,Loding arm sensor not working（ B side) . VDN line 1,Not specified,Sensor replaced
General Equipment,Loding,Loding arm putting position wrong down side （ A side) . VDN line 1,Not specified,Set stopper
General Equipment,QR,QR code text erase issue from corner .,Not specified,"QR code text at A7 CCD is ok but NG at OK discharge, then check all lifting location of cell & found B7 DIS lift 1 cyl. movement is very fast & forcely put the cell on discharge table, so provide the flow control then, cyl. movement is ok. (Under observation)"
General Equipment,Bubble,Bubble & line issue on cell.,Not specified,Change the spunge tape of B1 Flip & B7 Discharge lift 1 & 2
General Equipment,I66,FAI66 NG print.,Not specified,Change the correction parameter (B side) lift side max. threshold value from 200 to 160.
General Equipment,Barcode,Barcode not print on B side.,Not specified,Restart all software & printer also.
General Equipment,B7,B7 discharge vaccum not ON.,Not specified,Change the spunge tape.
General Equipment,A1,A1 correction deviation motor disabled- 4 Times,Not specified,Manually Enabled & run M/C.
General Equipment,B5,B5 correction motor +ve high limit reached.,Not specified,Check & found 3rd cleaning position is wrong so correct the position.
General Equipment,B,B side Barcode not printed.,Not specified,Restart all software & PC but not barcode not printed so bypass B side & run only A side. (Due to Alarm come on MES)
General Equipment,Discharge,Discharge turntable 3-2 vaccum not ON.,Not specified,Change the broken filter then ok
General Equipment,I74,FAI74 NG,Not specified,B4 lift servo pressure (87 to 85)
General Equipment,FAI,FAI 71 NG,Not specified,Offset value change
General Equipment,A1,A1 correction deviation motor disabled- 7 Times,Not specified,Manually Enabled & run M/C.
General Equipment,FAI,FAI 72 NG,Not specified,Offset value change
General Equipment,Feed,Feed turntable vaccum not ON.,Not specified,Increase the air purging pressure.
General Equipment,Empty,Empty feed tray pick cell tray with empty tray.,Not specified,Check & found tray saparater cylinder mounting removed so mount the cylinder.
General Equipment,Tea,Tea time （ 2 time）,Not specified,See problem description
General Equipment,FAI,FAI 68 / barcode ng,Not specified,A3 inkjet head clean A side ( unblock nozzle)
General Equipment,B,B 5 printing ng,Not specified,B5 pad change/ pad clean
General Equipment,A6,A6 Print NG,Not specified,Clean the pad & stencil.
General Equipment,Vdn,Vdn line 3359 unit 2 scanner not working .,Not specified,Manually trigger scanner by shoftware and power supply reconnect
General Equipment,Vdn,Vdn line 3359 unloding rbt pcm put worng place,Not specified,Set tray position
General Equipment,Barcode,Barcode software automatic delite 3 times,Not specified,Restart the pc and software open.
General Equipment,Barcode,Barcode print NG,Not specified,Inkjet head clean and unblocking nozzle.
General Equipment,I62,FAI62 fail issue till shift 5 nos,Not specified,M/c Running Under observation
General Equipment,A6,A6 pad printing servo in error not going to any position,Not specified,Initialise the machine then ok
General Equipment,A7,A7 inkjet detection ccd1 continiuse ng error is coming， 8 part barcode printed。,Not specified,Alarm clear on printer then ok
General Equipment,A5,Casmetic side A5 print ng issue， its happen 5 time,Not specified,Cleaned pad after that ok
General Equipment,KB,KB & jony working,Not specified,3359 cosmetic printing manually ( 16 part )
General Equipment,Printig,Printig NG both side,Not specified,Pad & stainsil plate clean
General Equipment,FAI,FAI 62 NG,Not specified,Offset value change
General Equipment,Mover,Mover no. 53 bypass,Not specified,Change the 24v power supply anitina.
General Equipment,All,"All Station scanning not being done, due to MES pc hang issue",Not specified,Restart the MES pc then ok
General Equipment,Fai63,Fai63 fail issue,Not specified,Cleaned Printing pad after that ok
General Equipment,Vdn,Vdn 2821 pm,Not specified,Vdn line 01 PM done
General Equipment,Feeding,Feeding tray vacuume not on,Not specified,Empety tray lift full position change
General Equipment,NG,NG robot part place wrong,Not specified,"NG robot 504,503 position teach"
General Equipment,1,1 This level mapping has full pls i/p next level. 2 Barcode has middle binding recorde （reworkpart running ）,Not specified,MES deta not upload
General Equipment,1.This,1.This level mapping has full pls i/p next level. 2.Barcode has middle binding recorde,Not specified,MES deta not upload （re-workpart running ）
General Equipment,Ok,Ok discharge robot part placing wrong,Not specified,Teach ok discharge robot and set the alignment of ok battery discharge block .
General Equipment,Feed,Feed tray stuck to the empety tray lift .,Not specified,Change the position of full empety tray servo
General Equipment,APP,APP line-1,Not specified,Feeding robot vacuume not ok
General Equipment,N20101263,Printer no- CN20101263,Not specified,Maintenance pending
General Equipment,N21150373,Printer no- CN21150373,Not specified,Phase drop daviaction alarm
General Equipment,Trans,Trans Arms graps cyl 1 alarm is coming,Not specified,16 carrier cover spring damage so remove carrier
General Equipment,5,5 carrier running counter over,Not specified,Reset counter carrier then ok
General Equipment,Unmating,Unmating side A EMS Alarm,Not specified,A side Emergency wire connection loose tighten the same
General Equipment,Spit,Spit servo drive alarm is comimg,Not specified,Drive power reset through power no/off
General Equipment,X-3359,X-3359 rbt A part presence optiacl fiber sensor give direct output.,Not specified,Check sensor connector found loose connector reconnecty .
General Equipment,X-3359,X-3359 rbt b dwn sensor signal not come,Not specified,Sensor position set
General Equipment,X-3354,X-3354 B pre push cly sensor not on,Not specified,Manually run and ok
General Equipment,X-3354,X-3354 unit 1 mcr alarm,Not specified,Scannor power off/on and initilize unit then run .
General Equipment,X-3354,X-3354 unit 2 mcr alarm,Not specified,Initilize unit then run .
General Equipment,X-3354,X-3354 loading arm A not response,Not specified,Check all sensor found ok then arm initilize and run the machine
General Equipment,X-3354,X-3354 A pre push cly sensor not on,Not specified,Manually run and ok
Robotic System,Robot,Robot B Jaw Hit on unmating B carrier during picking PCM,Not specified,Found Unmating carrier holding pin was loose so open carrier unmating block and thighen the same
